year,rank,player,share
2019,32,Paulaner Gruppe,0.003
2019,33,HiteJinro,0.003
2019,34,Gold Star,0.003
2019,35,Hanoi Beverage Corp. (HABECO),0.002
2019,36,Obolon,0.002
2019,37,Olvi Group,0.002
2019,38,Warsteiner,0.002
2019,39,Royal Unibrew,0.002
2019,40,Estrella de Galicia,0.002
2020,1,AB InBev,0.257
2020,2,Heineken,0.122
2020,3,Carlsberg,0.061
2020,4,China Res. Snow Breweries,0.059
2020,5,Molson Coors,0.046
2020,6,Tsingtao Brewery Group,0.044
2020,7,Asahi Group,0.031
2020,8,BGI / Groupe Castel,0.020
2020,9,Efes Group,0.020
2020,10,Yanjing,0.019
2020,11,Grupo Petrópolis,0.017
2020,12,Constellation Brands,0.017
2020,13,Kirin,0.015
2020,14,Diageo (Guinness),0.011
2020,15,San Miguel Corporation,0.010
2020,16,CCU,0.009
2020,17,Saigon Beverage Corp. (SABECO),0.008
2020,18,Grupo Mahou - San Miguel,0.007
2020,19,Singha Corporation,0.007
2020,20,Pearl River,0.007
2020,21,Damm,0.006
2020,22,Radeberger Gruppe,0.006
2020,23,United Breweries Group,0.005
2020,24,TCB Beteiligungsgesellschaft mbH,0.005
2020,25,Oettinger Gruppe,0.005
2020,26,Suntory,0.005
2020,27,Swinkels Family Brewers,0.004
2020,28,Beer Thai (Chang),0.004
2020,29,Sapporo,0.004
2020,30,HiteJinro,0.003
2020,31,Krombacher Gruppe,0.003
2020,32,Bitburger Braugruppe,0.003
2020,33,Paulaner Gruppe,0.003
2020,34,Olvi Group,0.003
2020,35,Obolon,0.002
2020,36,Royal Unibrew,0.002
2020,37,Hanoi Beverage Corp. (HABECO),0.002
2020,38,Estrella de Galicia,0.002
2020,39,Warsteiner,0.002
2020,40,Veltins,0.002
2021,1,AB InBev,0.312789
2021,2,Heineken,0.124320
2021,3,Carlsberg,0.064311
2021,4,China Res. Snow Breweries,0.060332
2021,5,Molson Coors,0.045168
2021,6,Tsingtao Brewery Group,0.040866
2021,7,Asahi Group,0.030865
2021,8,BGI / Groupe Castel,0.021509
2021,9,Efes Group,0.020379
2021,10,Yanjing,0.018013
2021,11,Constellation Brands,0.017530
2021,12,Grupo Petrópolis,0.015863
2021,13,Kirin,0.014034
2021,14,Diageo (Guinness),0.011292
2021,15,CCU,0.010324
2021,16,San Miguel Corporation,0.008442
2021,17,Saigon Beverage Corp. (SABECO),0.007797
2021,18,Grupo Mahou - San Miguel,0.007797
2021,19,Singha Corporation,0.006937
2021,20,Pearl River,0.006883
2021,21,Damm,0.006399
2021,22,Radeberger Gruppe,0.005485
2021,23,United Breweries Group,0.005001
2021,24,TCB Beteiligungsgesellschaft mbH,0.004571
2021,25,Oettinger Gruppe,0.004571
2021,26,Suntory,0.004140
2021,27,Sapporo,0.003925
2021,28,Beer Thai (Chang),0.003872
2021,29,Swinkels Family Brewers,0.003764
2021,30,Krombacher Gruppe,0.003119
2021,31,Paulaner Gruppe,0.003065
2021,32,HiteJinro,0.002904
2021,33,Bitburger Braugruppe,0.002689
2021,34,Olvi Group,0.002527
2021,35,Estrella de Galicia,0.002366
2021,36,Obolon,0.002258
2021,37,Moscow Brewing Company,0.002205
2021,38,Royal Unibrew,0.002205
2021,39,Hanoi Beverage Corp. (HABECO),0.001936
2021,40,Veltins,0.001667
2022,1,AB InBev,0.274016
2022,2,Heineken,0.135897
2022,3,China Res. Snow Breweries,0.064642
2022,4,Carlsberg,0.054168
2022,5,Molson Coors,0.043536
2022,6,Tsingtao Brewery Group,0.042107
2022,7,Asahi Group,0.031369
2022,8,BGI / Groupe Castel,0.023117
2022,9,Yanjing,0.019943
2022,10,Efes Group,0.017986
2022,11,Constellation Brands,0.017562
2022,12,Grupo Petrópolis,0.013754
2022,13,Kirin,0.012907
2022,14,Diageo (Guinness),0.012643
2022,15,CCU,0.009310
2022,16,San Miguel Corporation,0.009204
2022,17,Saigon Beverage Corp. (SABECO),0.008094
2022,18,Grupo Mahou - San Miguel,0.008094
2022,19,Singha Corporation,0.007723
2022,20,Pearl River,0.007088
2022,21,Damm,0.006718
2022,22,Radeberger Gruppe,0.005819
2022,23,Beer Thai (Chang),0.004602
2022,24,Suntory,0.004285
2022,25,Oettinger Gruppe,0.004232
2022,26,Sapporo,0.004126
2022,27,Swinkels Family Brewers,0.003862
2022,28,TCB Beteiligungsgesellschaft mbH,0.003756
2022,29,Krombacher Gruppe,0.003174
2022,30,Paulaner Gruppe,0.003174
2022,31,Bitburger Braugruppe,0.003068
2022,32,HiteJinro,0.002909
2022,33,Olvi Group,0.002751
2022,34,Hanoi Beverage Corp. (HABECO),0.002645
2022,35,Royal Unibrew,0.002539
2022,36,Estrella de Galicia,0.002539
2022,37,Polar,0.002169
2022,38,Obolon,0.002116
2022,39,Moscow Brewing Company,0.002063
2022,40,Martens,0.001851
2023,1,AB InBev,0.268580
2023,2,Heineken,0.128795
2023,3,China Res. Snow Breweries,0.059200
2023,4,Carlsberg,0.053620
2023,5,Molson Coors,0.044473
2023,6,Tsingtao Brewery Group,0.039339
2023,7,Asahi Group,0.034508
2023,8,BGI / Groupe Castel,0.022669
2023,9,Yanjing,0.020928
2023,10,Efes Group,0.018953
2023,11,Constellation Brands,0.018263
2023,12,Diageo (Guinness),0.013092
2023,13,Kirin,0.012481
2023,14,Grupo Petrópolis,0.011149
2023,15,San Miguel Corporation,0.009466
2023,16,Grupo Mahou - San Miguel,0.008600
2023,17,CCU,0.008526
2023,18,Pearl River,0.007448
2023,19,Singha Corporation,0.007427
2023,20,Saigon Beverage Corp. (SABECO),0.006902
2023,21,Damm,0.006742
2023,22,Radeberger Gruppe,0.005734
2023,23,Suntory,0.004592
2023,24,Sapporo,0.004279
2023,25,Oettinger Gruppe,0.003982
2023,26,Swinkels Family Brewers,0.003976
2023,27,Beer Thai (Chang),0.003684
2023,28,Paulaner Gruppe,0.003366
2023,29,HiteJinro,0.003175
2023,30,TCB Beteiligungsgesellschaft mbH,0.003079
2023,31,Krombacher Gruppe,0.003047
2023,32,Bitburger Braugruppe,0.003021
2023,33,Olvi Group,0.002814
2023,34,Estrella de Galicia,0.002670
2023,35,Royal Unibrew,0.002601
2023,36,Polar,0.002283
2023,37,Financière ACP,0.002182
2023,38,Moscow Brewing Company,0.002177
2023,39,Martens,0.002129
2023,40,Obolon,0.002102
2024,1,AB InBev,0.264
2024,2,Heineken,0.128
2024,3,China Res. Snow Breweries,0.058
2024,4,Carlsberg,0.054
2024,5,Molson Coors,0.042
2024,6,Tsingtao Brewery Group,0.040
2024,7,Asahi Group,0.035
2024,8,BGI / Groupe Castel,0.023
2024,9,Yanjing,0.021
2024,10,Efes Group,0.021
2024,11,Constellation Brands,0.019
2024,12,Baltika,0.014
2024,13,Diageo (Guinness),0.012
2024,14,Kirin,0.012
2024,15,Grupo Petrópolis,0.011
2024,16,San Miguel Corporation,0.010
2024,17,CCU,0.009
2024,18,Grupo Mahou - San Miguel,0.008
2024,19,Singha Corporation,0.008
2024,20,Pearl River,0.008
2024,21,Saigon Beverage Corp. (SABECO),0.007
2024,22,Damm,0.007
2024,23,Radeberger Gruppe,0.006
2024,24,OPH United Breweries,0.005
2024,25,Beer Thai (Chang),0.005
2024,26,Suntory,0.004
2024,27,Sapporo,0.004
2024,28,TCB Beteiligungsgesellschaft mbH,0.004
2024,29,Swinkels Family Brewers,0.004
2024,30,Paulaner Gruppe,0.004
2024,31,Oettinger Gruppe,0.004
2024,32,Krombacher Gruppe,0.003
2024,33,Bitburger Braugruppe,0.003
2024,34,HiteJinro,0.003
2024,35,Olvi Group,0.003
2024,36,Estrella de Galicia,0.003
2024,37,Royal Unibrew,0.003
2024,38,Martens,0.003
2024,39,Polar,0.003
2024,40,Financière ACP,0.002
2025,1,AB InBev,0.255374
2025,2,Heineken,0.124288
2025,3,China Res. Snow Breweries,0.058175
2025,4,Carlsberg,0.052215
2025,5,Molson Coors,0.039320
2025,6,Tsingtao Brewery Group,0.039030
2025,7,Asahi Group,0.033228
2025,8,Yanjing,0.024262
2025,9,BGI / Groupe Castel,0.023470
2025,10,Constellation Brands,0.018460
2025,11,JSC AB Inbev Efes,0.013186
2025,12,Diageo (Guinness),0.011862
2025,13,Kirin,0.011735
2025,14,Baltika,0.010390
2025,15,Efes Group,0.009968
2025,16,San Miguel Corporation,0.009441
2025,17,Grupo Petrópolis,0.009388
2025,18,CCU,0.008703
2025,19,Grupo Mahou - San Miguel,0.007911
2025,20,Pearl River,0.007711
2025,21,Singha Corporation,0.007690
2025,22,Saigon Beverage Corp. (SABECO),0.006857
2025,23,Damm,0.006329
2025,24,Bochkarev Breweries,0.005380
2025,25,Radeberger Gruppe,0.005248
2025,26,Suntory,0.004399
2025,27,Beer Thai (Chang),0.004219
2025,28,Sapporo,0.004198
2025,29,Paulaner Gruppe,0.004003
2025,30,TCB Beteiligungsgesellschaft mbH,0.003797
2025,31,Swinkels Family Brewers,0.003797
2025,32,Oettinger Gruppe,0.003555
2025,33,Krombacher Gruppe,0.003138
2025,34,Estrella de Galicia,0.002943
2025,35,Bitburger Braugruppe,0.002743
2025,36,Polar,0.002743
2025,37,Olvi Group,0.002674
2025,38,HiteJinro,0.002637
2025,39,Martens,0.002637
2025,40,Royal Unibrew,0.002584
